acquisition,inchikey,column_hash,column,entryid
AU,QKLPUVXBJHRFQZ-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU100601
AU,XOXHILFPRYWFOD-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU100701
AU,ASWVTGNCAZCNNR-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU100801
AU,ASWVTGNCAZCNNR-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU100802
AU,ASWVTGNCAZCNNR-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU100803
AU,ASWVTGNCAZCNNR-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU100804
AU,ASWVTGNCAZCNNR-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU100805
AU,ASWVTGNCAZCNNR-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU100806
AU,ZZORFUFYDOWNEF-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU100902
AU,ZZORFUFYDOWNEF-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU100903
AU,ZZORFUFYDOWNEF-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU100904
AU,ZZORFUFYDOWNEF-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU100905
AU,PJSFRIWCGOHTNF-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU101001
AU,SEEPANYCNGTZFQ-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU101101
AU,SEEPANYCNGTZFQ-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU101102
AU,SEEPANYCNGTZFQ-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU101103
AU,SEEPANYCNGTZFQ-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU101104
AU,BRBKOPJOKNSWSG-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU101201
AU,NHUHCSRWZMLRLA-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU101302
AU,VLYWMPOKSSWJAL-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU101501
AU,VLYWMPOKSSWJAL-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU101502
AU,VLYWMPOKSSWJAL-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU101503
AU,VLYWMPOKSSWJAL-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU101504
AU,VLYWMPOKSSWJAL-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU101505
AU,QPPBRPIAZZHUNT-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU101601
AU,VACCAVUAMIDAGB-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU101702
AU,JLKIGFTWXXRPMT-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU101801
AU,JLKIGFTWXXRPMT-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU101802
AU,JLKIGFTWXXRPMT-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU101803
AU,JLKIGFTWXXRPMT-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU101804
AU,JLKIGFTWXXRPMT-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU101805
AU,JLKIGFTWXXRPMT-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU101806
AU,JLKIGFTWXXRPMT-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU101851
AU,JLKIGFTWXXRPMT-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU101852
AU,JLKIGFTWXXRPMT-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU101853
AU,CYFLXLSBHQBMFT-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU101902
AU,GECHUMIMRBOMGK-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU102001
AU,FDDDEECHVMSUSB-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU102202
AU,JNMRHUJNCSQMMB-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU102301
AU,MQJKPEGWNLWLTK-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU102401
AU,GPTONYMQFTZPKC-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU102501
AU,MYSWGUAQZAJSOK-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU102603
AU,QMLVECGLEOSESV-RYUDHWBXSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU102701
AU,QMLVECGLEOSESV-RYUDHWBXSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU102704
AU,QMLVECGLEOSESV-RYUDHWBXSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU102705
